,tweet
0,"b'RT @AlegreBengali: Colombia patria m\xc3\xada, te llevo con amor en mi coraz\xc3\xb3n...\n\nFeliz d\xc3\xada de la independencia \xf0\x9f\x87\xa8\xf0\x9f\x87\xb4 https://t.co/Ofmvsl1B28'"
1,b'RT @irene_domingz: La mejor declaraci\xc3\xb3n de amor que he visto nunca. https://t.co/Lmxv1HW0RI'
2,b'RT @lunaypr1: Quiero tener un amor sin contrato \xf0\x9f\x96\xa4\xf0\x9f\x98\x88'
3,b'RT @RguezzAle: encontrar amor y amistad en la misma persona es ganar en la vida.'
4,b'RT @RguezzAle: encontrar amor y amistad en la misma persona es ganar en la vida.'
5,"b'RT @PonchinGarciaJr: El amor llegar\xc3\xa1, ahorita conc\xc3\xa9ntrate en llenar tu CV.'"
6,"b'RT @TyCSports: ""AY AMOR\xe2\x80\x9d \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nEl pedido especial del Burrito Ortega en la apertura de @Liberotyc. https://t.co/yxJU9l6rkh'"
7,"b'RT @intialinnx: literal que a cada persona que conozco y me llevo medianamente bien la trato de \xe2\x80\x9camor\xe2\x80\x9d \xe2\x80\x9camorcito\xe2\x80\x9d \xe2\x80\x9cgordi\xe2\x80\x9d \xe2\x80\x9cbebe\xe2\x80\x9d, pero real\xe2\x80\xa6'"
8,b'RT @elcosodelapizza: El amor es hacerse re\xc3\xadr'
9,"b'RT @jonathangtz19: LUNES 20 DE JULIO: Amado Dios, en tus divinas manos pongo esta nueva semana que empieza. Por favor bendice mi vida, mi h\xe2\x80\xa6'"
10,"b'RT @7anpanman_ever: Simple\nNo creas, ni difundas toda informaci\xc3\xb3n que puede ser maliciosa solo porque esta escrita en Coreano \n\nNI PARA REP\xe2\x80\xa6'"
11,b'RT @paola_ah24: Unas 4 cirug\xc3\xadas por ah\xc3\xad y ya voy a tener amor propio \xf0\x9f\x98\x83'
12,b'QUISE CULTIVAR UN AMOR Y ME HE QUEDADO SOOOOLOOOOO'
13,b'\xc2\xbfY t\xc3\xba cuantas veces al d\xc3\xada act\xc3\xbaas desde el amor y no desde el miedo?'
14,"b'RT @literlandweb1: ""Qu\xc3\xa9 f\xc3\xa1cil callar, ser serena y objetiva con los seres que no me interesan verdaderamente, a cuyo amor o amistad no aspi\xe2\x80\xa6'"
15,b'RT @Real_Precious_M: Mi Amor \xf0\x9f\x8c\xb8\xf0\x9f\x98\x8d\xf0\x9f\xa7\xa1 https://t.co/DOUWjDUZul'
16,"b'#ThankYouLiam por ser un amor de persona con las fans, y apoyarnos como un fan loco m\xc3\xa1s \nte amamos\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/qmFaVhvOtu'"
17,b'RT @unafulanitaa: As\xc3\xad de caidas est\xc3\xa1n mis esperanzas de volver a creer en el amor. \xf0\x9f\x98\xa9\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb https://t.co/HOWX3xzuSx'
